gene_name	CN_high	n_cells_high	median_SCT_count_high	mean_SCT_count_high	CN_low	n_cells_low	median_SCT_count_low	mean_SCT_count_low	mean_expected_high	log10_abs_diff	highlight
B2M	5	16	1835	2897.625	3	59	3224	3694.52542372881	6157.54237288136	3.51320659241259	TRUE
FOS	5	16	182.5	1347.6875	2	32	1271	1761.25	4403.125	3.48507340450725	TRUE
RPLP1	5	15	6803	7057	4	32	3961	3708.8125	4636.015625	3.38399198652014	TRUE
RPS27	6	19	4083	4130.15789473684	4	47	4397	4337.10638297872	6505.65957446809	3.37575534184752	TRUE
RPLP1	5	15	6803	7057	3	72	2634.5	2815.44444444444	4692.40740740741	3.37375632476494	TRUE
RBM25	5	16	146	208.9375	3	40	179	1518.45	2530.75	3.36582714498772	TRUE
B2M	5	16	1835	2897.625	4	50	2272.5	3985.22	4981.525	3.31887687466098	TRUE
UBB	3	29	3587	3238.68965517241	2	97	3781	3507.37113402062	5261.05670103093	3.30585997990213	TRUE
FOS	4	41	149	1568.85365853659	2	32	1271	1761.25	3522.5	3.29084594840422	TRUE
RBM25	4	41	104	224.19512195122	3	40	179	1518.45	2024.6	3.25537018095318	TRUE
COL1A1	2	96	1391	2811.22916666667	1	34	389	595.176470588235	1190.35294117647	3.2097498522088	TRUE
COL16A1	3	47	37	1784.85106382979	2	82	61	127.841463414634	191.762195121951	3.2022400031162	TRUE
SRSF11	3	49	471	2054.08163265306	2	80	267.5	351.725	527.5875	3.18369513935116	TRUE
COL11A1	3	17	757	2394.47058823529	2	112	479	639.151785714286	958.727678571428	3.15707668021947	TRUE
RPS27	6	19	4083	4130.15789473684	3	43	3168	2775.86046511628	5551.72093023256	3.15276612210665	TRUE
TMSB10	3	83	1384	1527.73493975904	2	38	1731	1946.21052631579	2919.31578947368	3.14350844355897	TRUE
RPL7	6	65	9748	10948.6	5	56	9454.5	10188.2142857143	12225.8571428571	3.10627834008381	TRUE
SON	3	11	858	1617.18181818182	1	14	67	117.571428571429	352.714285714286	3.10190768251299	TRUE
FOS	3	40	18	1412.175	2	32	1271	1761.25	2641.875	3.08979917303616	TRUE
RBM25	3	40	179	1518.45	2	32	71.5	210.34375	315.515625	3.08024193544228	TRUE
RPL5	3	49	1873	1848.77551020408	2	80	1940	1990.8875	2986.33125	3.05597268611394	TRUE
KLF6	2	92	149.5	680.663043478261	1	38	330	898.526315789474	1797.05263157895	3.04781577743008	TRUE
RPL31	5	26	3395	3647.07692307692	4	90	3967.5	3805.48888888889	4756.86111111111	3.04523853278809	TRUE
EIF3E	7	11	1705	1557.90909090909	5	45	1941	1887.57777777778	2642.60888888889	3.03530955927152	TRUE
SON	3	11	858	1617.18181818182	2	105	207	363.447619047619	545.171428571429	3.03019899443193	TRUE
CTHRC1	6	70	1383.5	1833.71428571429	5	45	1738	2382.73333333333	2859.28	3.01096349350722	FALSE
FOS	5	16	182.5	1347.6875	3	40	18	1412.175	2353.625	3.00257099836571	FALSE
RPL4	5	14	2875	2935.35714285714	3	56	1098	1161.58928571429	1935.98214285714	2.99972848109031	FALSE
COL3A1	2	113	1437	2117.44247787611	1	15	456	563.733333333333	1127.46666666667	2.99562458329795	FALSE
ANXA2	5	14	1412	1682.85714285714	4	53	476	558	697.5	2.99359366913697	FALSE
HSP90AA1	4	52	1889.5	2895.13461538462	3	54	1068	1439.53703703704	1919.38271604938	2.98933940532352	FALSE
PRRC2C	6	19	175	385.105263157895	3	43	170	672.46511627907	1344.93023255814	2.98219204371235	FALSE
TSC22D1	3	41	314	720	1	10	283.5	559.9	1679.7	2.98213549480377	FALSE
B2M	4	50	2272.5	3985.22	3	59	3224	3694.52542372881	4926.03389830508	2.97350372445551	FALSE
SOSTDC1	5	90	93.5	352.566666666667	4	28	710	1005.67857142857	1257.09821428571	2.95642371847935	FALSE
JUN	3	49	363	1379.42857142857	2	80	589.5	1500.075	2250.1125	2.93986052815405	FALSE
RPL39	2	34	944	1056.70588235294	1	95	949	957.389473684211	1914.77894736842	2.93352426964594	FALSE
POSTN	3	41	674	799.414634146341	2	74	755	1098.60810810811	1647.91216216216	2.92865058139659	FALSE
S100A4	6	19	696	818.315789473684	4	47	685	1072.8085106383	1609.21276595745	2.898119915282	FALSE
S100A4	4	47	685	1072.8085106383	3	43	81	214.348837209302	285.798449612403	2.89598028435411	FALSE
CRABP2	6	19	1804	1887.73684210526	3	43	1273	1336.53488372093	2673.06976744186	2.89505380577047	FALSE
POSTN	2	74	755	1098.60810810811	1	10	94.5	177.8	355.6	2.87099355304375	FALSE
GAS5	6	19	1420	1561.47368421053	3	43	1140	1141.27906976744	2282.55813953488	2.85798613342028	FALSE
HSP90AA1	5	17	2110	2901.29411764706	4	52	1889.5	2895.13461538462	3618.91826923077	2.85589704642822	FALSE
SERF2	4	50	3002	2778.98	3	59	2582	2593.03389830508	3457.37853107345	2.8314848988781	FALSE
SERF2	5	16	3620	3653.25	3	59	2582	2593.03389830508	4321.72316384181	2.82508397699911	FALSE
OST4	4	11	236	198.090909090909	2	36	378	431.555555555556	863.111111111111	2.82283483852511	FALSE
CTHRC1	7	11	2064	2794.36363636364	6	70	1383.5	1833.71428571429	2139.33333333333	2.81626139180007	FALSE
RPS27	4	47	4397	4337.10638297872	3	43	3168	2775.86046511628	3701.14728682171	2.80342918343997	FALSE
EIF3E	7	11	1705	1557.90909090909	6	70	1928.5	1877.44285714286	2190.35	2.80101995426747	FALSE
RPL11	3	47	810	764.659574468085	2	82	868.5	930.280487804878	1395.42073170732	2.79986494128961	FALSE
RPS29	3	47	727	789.085106382979	2	57	853	944.280701754386	1416.42105263158	2.79750017325412	FALSE
RPS8	3	49	1098	1170.63265306122	2	80	1166	1194.4125	1791.61875	2.79308187700369	FALSE
LAPTM4A	4	11	1295	1087.27272727273	2	36	880.5	853.972222222222	1707.94444444444	2.79286195586371	FALSE
