group_name	cell_type	clone_label	region	technology_mode	n_cells	n_sphase	sphase_fraction
healthy_P	healthy	healthy	P	10X	124	14	0.112903225806452
healthy_R1	healthy	healthy	R1	10X	77	1	0.012987012987013
healthy_R2	healthy	healthy	R2	10X	51	2	0.0392156862745098
healthy_R5	healthy	healthy	R5	10X	42	0	0
healthy_P	healthy	healthy	P	combined	220	75	0.340909090909091
healthy_R1	healthy	healthy	R1	combined	100	16	0.16
healthy_R2	healthy	healthy	R2	combined	80	2	0.025
healthy_R3	healthy	healthy	R3	combined	10	1	0.1
healthy_R4	healthy	healthy	R4	combined	30	2	0.0666666666666667
healthy_R5	healthy	healthy	R5	combined	122	19	0.155737704918033
healthy_P	healthy	healthy	P	DLP	96	21	0.21875
healthy_R1	healthy	healthy	R1	DLP	23	1	0.0434782608695652
healthy_R2	healthy	healthy	R2	DLP	29	1	0.0344827586206897
healthy_R3	healthy	healthy	R3	DLP	4	1	0.25
healthy_R4	healthy	healthy	R4	DLP	13	4	0.307692307692308
healthy_R5	healthy	healthy	R5	DLP	80	6	0.075
clone_P_1	tumour	P_1	NA	10X	36	1	0.0277777777777778
clone_P_1	tumour	P_1	NA	combined	36	1	0.0277777777777778
clone_P_2	tumour	P_2	NA	10X	403	85	0.210918114143921
clone_P_2	tumour	P_2	NA	combined	408	93	0.227941176470588
clone_P_2	tumour	P_2	NA	DLP	5	1	0.2
clone_P_3	tumour	P_3	NA	10X	8	6	0.75
clone_P_3	tumour	P_3	NA	combined	208	69	0.331730769230769
clone_P_3	tumour	P_3	NA	DLP	200	53	0.265
clone_R1_1	tumour	R1_1	NA	10X	461	42	0.0911062906724512
clone_R1_1	tumour	R1_1	NA	combined	525	66	0.125714285714286
clone_R1_1	tumour	R1_1	NA	DLP	64	14	0.21875
clone_R1_2	tumour	R1_2	NA	10X	196	21	0.107142857142857
clone_R1_2	tumour	R1_2	NA	combined	240	47	0.195833333333333
clone_R1_2	tumour	R1_2	NA	DLP	44	7	0.159090909090909
clone_R1_3	tumour	R1_3	NA	10X	220	10	0.0454545454545455
clone_R1_3	tumour	R1_3	NA	combined	492	142	0.288617886178862
clone_R1_3	tumour	R1_3	NA	DLP	272	24	0.0882352941176471
clone_R1_4	tumour	R1_4	NA	10X	123	23	0.186991869918699
clone_R1_4	tumour	R1_4	NA	combined	227	93	0.409691629955947
clone_R1_4	tumour	R1_4	NA	DLP	104	15	0.144230769230769
clone_R2_1	tumour	R2_1	NA	10X	273	39	0.142857142857143
clone_R2_1	tumour	R2_1	NA	combined	466	114	0.244635193133047
clone_R2_1	tumour	R2_1	NA	DLP	193	60	0.310880829015544
clone_R2_2	tumour	R2_2	NA	10X	476	93	0.195378151260504
clone_R2_2	tumour	R2_2	NA	combined	723	188	0.260027662517289
clone_R2_2	tumour	R2_2	NA	DLP	247	37	0.149797570850202
clone_R2_3	tumour	R2_3	NA	10X	44	6	0.136363636363636
clone_R2_3	tumour	R2_3	NA	combined	170	69	0.405882352941176
clone_R2_3	tumour	R2_3	NA	DLP	126	47	0.373015873015873
clone_R3_1	tumour	R3_1	NA	10X	66	5	0.0757575757575758
clone_R3_1	tumour	R3_1	NA	combined	466	123	0.263948497854077
clone_R3_1	tumour	R3_1	NA	DLP	400	102	0.255
clone_R4_1	tumour	R4_1	NA	combined	111	31	0.279279279279279
clone_R4_1	tumour	R4_1	NA	DLP	111	32	0.288288288288288
clone_R4_2	tumour	R4_2	NA	10X	157	22	0.140127388535032
clone_R4_2	tumour	R4_2	NA	combined	397	95	0.239294710327456
clone_R4_2	tumour	R4_2	NA	DLP	240	80	0.333333333333333
clone_R4_3	tumour	R4_3	NA	10X	62	11	0.17741935483871
clone_R4_3	tumour	R4_3	NA	combined	255	56	0.219607843137255
clone_R4_3	tumour	R4_3	NA	DLP	193	42	0.217616580310881
clone_R5_1	tumour	R5_1	NA	10X	83	6	0.072289156626506
clone_R5_1	tumour	R5_1	NA	combined	112	12	0.107142857142857
clone_R5_1	tumour	R5_1	NA	DLP	29	6	0.206896551724138
clone_R5_2	tumour	R5_2	NA	10X	406	56	0.137931034482759
clone_R5_2	tumour	R5_2	NA	combined	624	75	0.120192307692308
clone_R5_2	tumour	R5_2	NA	DLP	218	32	0.146788990825688
clone_R5_3	tumour	R5_3	NA	10X	146	19	0.13013698630137
clone_R5_3	tumour	R5_3	NA	combined	174	27	0.155172413793103
clone_R5_3	tumour	R5_3	NA	DLP	28	7	0.25
clone_R5_4	tumour	R5_4	NA	10X	289	58	0.200692041522491
clone_R5_4	tumour	R5_4	NA	combined	308	61	0.198051948051948
clone_R5_4	tumour	R5_4	NA	DLP	19	7	0.368421052631579
clone_unassigned	tumour	unassigned	NA	combined	6	3	0.5
clone_unassigned	tumour	unassigned	NA	DLP	3	2	0.666666666666667
