region	technology	clone_label	cell_type	n_cells	n_sphase	sphase_fraction
P	10X	healthy	healthy	124	11	0.0887096774193548
P	10X	P_1	tumour	36	6	0.166666666666667
P	10X	P_2	tumour	402	80	0.199004975124378
P	10X	P_3	tumour	7	3	0.428571428571429
P	10X	R1_2	tumour	1	0	0
P	10X	R1_4	tumour	3	0	0
P	10X	R2_1	tumour	2	0	0
P	10X	R2_2	tumour	1	1	1
P	10X	R3_1	tumour	2	0	0
P	10X	unassigned	tumour	1	0	0
P	DLP	healthy	healthy	96	28	0.291666666666667
P	DLP	P_2	tumour	2	1	0.5
P	DLP	P_3	tumour	122	29	0.237704918032787
P	DLP	R3_1	tumour	3	0	0
R1	10X	healthy	healthy	77	1	0.012987012987013
R1	10X	P_2	tumour	1	1	1
R1	10X	R1_1	tumour	460	36	0.0782608695652174
R1	10X	R1_2	tumour	173	6	0.0346820809248555
R1	10X	R1_3	tumour	214	10	0.0467289719626168
R1	10X	R1_4	tumour	116	12	0.103448275862069
R1	10X	R2_1	tumour	4	0	0
R1	10X	R2_2	tumour	2	1	0.5
R1	10X	R2_3	tumour	2	1	0.5
R1	10X	R3_1	tumour	1	0	0
R1	10X	R4_2	tumour	3	1	0.333333333333333
R1	10X	R4_3	tumour	2	1	0.5
R1	10X	R5_1	tumour	11	0	0
R1	10X	R5_2	tumour	7	0	0
R1	10X	R5_3	tumour	3	0	0
R1	10X	R5_4	tumour	11	0	0
R1	DLP	healthy	healthy	23	1	0.0434782608695652
R1	DLP	P_2	tumour	2	0	0
R1	DLP	P_3	tumour	2	1	0.5
R1	DLP	R1_1	tumour	64	10	0.15625
R1	DLP	R1_2	tumour	43	4	0.0930232558139535
R1	DLP	R1_3	tumour	272	24	0.0882352941176471
R1	DLP	R1_4	tumour	103	9	0.087378640776699
R1	DLP	R2_1	tumour	5	0	0
R1	DLP	R2_2	tumour	1	0	0
R1	DLP	R3_1	tumour	1	0	0
R1	DLP	R5_1	tumour	2	1	0.5
R1	DLP	R5_2	tumour	1	0	0
R1	DLP	R5_3	tumour	1	0	0
R1	DLP	R5_4	tumour	3	1	0.333333333333333
R2	10X	healthy	healthy	51	4	0.0784313725490196
R2	10X	R1_1	tumour	1	0	0
R2	10X	R1_2	tumour	1	0	0
R2	10X	R1_3	tumour	1	0	0
R2	10X	R1_4	tumour	2	0	0
R2	10X	R2_1	tumour	265	37	0.139622641509434
R2	10X	R2_2	tumour	472	87	0.184322033898305
R2	10X	R2_3	tumour	41	11	0.268292682926829
R2	10X	R4_2	tumour	1	0	0
R2	10X	R4_3	tumour	1	1	1
R2	10X	unassigned	tumour	2	0	0
R2	DLP	healthy	healthy	29	1	0.0344827586206897
R2	DLP	R2_1	tumour	186	56	0.301075268817204
R2	DLP	R2_2	tumour	245	28	0.114285714285714
R2	DLP	R2_3	tumour	122	42	0.344262295081967
R2	DLP	R3_1	tumour	7	4	0.571428571428571
R2	DLP	R4_2	tumour	2	1	0.5
R2	DLP	R4_3	tumour	5	1	0.2
R2	DLP	R5_2	tumour	1	0	0
R2	DLP	unassigned	tumour	2	1	0.5
R3	10X	healthy	healthy	6	0	0
R3	10X	P_3	tumour	1	0	0
R3	10X	R2_1	tumour	2	1	0.5
R3	10X	R3_1	tumour	63	5	0.0793650793650794
R3	DLP	healthy	healthy	4	1	0.25
R3	DLP	R2_1	tumour	1	1	1
R3	DLP	R2_2	tumour	1	1	1
R3	DLP	R2_3	tumour	3	3	1
R3	DLP	R3_1	tumour	386	90	0.233160621761658
R3	DLP	unassigned	tumour	1	0	0
R4	10X	healthy	healthy	17	2	0.117647058823529
R4	10X	R4_2	tumour	153	21	0.137254901960784
R4	10X	R4_3	tumour	59	13	0.220338983050847
R4	10X	R5_4	tumour	1	1	1
R4	DLP	healthy	healthy	13	2	0.153846153846154
R4	DLP	R2_1	tumour	1	0	0
R4	DLP	R2_3	tumour	1	0	0
R4	DLP	R4_1	tumour	111	27	0.243243243243243
R4	DLP	R4_2	tumour	235	62	0.263829787234043
R4	DLP	R4_3	tumour	188	40	0.212765957446809
R5	10X	healthy	healthy	42	6	0.142857142857143
R5	10X	R1_2	tumour	21	5	0.238095238095238
R5	10X	R1_3	tumour	5	1	0.2
R5	10X	R1_4	tumour	2	1	0.5
R5	10X	R2_2	tumour	1	0	0
R5	10X	R2_3	tumour	1	0	0
R5	10X	R5_1	tumour	72	5	0.0694444444444444
R5	10X	R5_2	tumour	399	54	0.135338345864662
R5	10X	R5_3	tumour	143	17	0.118881118881119
R5	10X	R5_4	tumour	277	50	0.180505415162455
R5	DLP	healthy	healthy	80	3	0.0375
R5	DLP	P_2	tumour	1	0	0
R5	DLP	P_3	tumour	76	17	0.223684210526316
R5	DLP	R1_2	tumour	1	1	1
R5	DLP	R1_4	tumour	1	0	0
R5	DLP	R3_1	tumour	3	0	0
R5	DLP	R4_2	tumour	3	1	0.333333333333333
R5	DLP	R5_1	tumour	27	1	0.037037037037037
R5	DLP	R5_2	tumour	216	21	0.0972222222222222
R5	DLP	R5_3	tumour	27	3	0.111111111111111
R5	DLP	R5_4	tumour	16	2	0.125
