region	technology	clone_label	n_cells	n_sphase	sphase_fraction
P	10X	healthy	124	11	0.0887096774193548
P	DLP	healthy	96	28	0.291666666666667
P	scRNA	healthy	657	124	0.188736681887367
P	10X	P_1	36	6	0.166666666666667
P	DLP	P_1	0	0	0
P	scRNA	P_1	0	0	0
P	10X	P_2	402	80	0.199004975124378
P	DLP	P_2	2	1	0.5
P	scRNA	P_2	0	0	0
P	10X	P_3	7	3	0.428571428571429
P	DLP	P_3	122	29	0.237704918032787
P	scRNA	P_3	0	0	0
P	10X	P_all	0	0	0
P	DLP	P_all	0	0	0
P	scRNA	P_all	3200	1160	0.3625
R1	10X	healthy	77	1	0.012987012987013
R1	DLP	healthy	23	1	0.0434782608695652
R1	scRNA	healthy	146	23	0.157534246575342
R1	10X	R1_1	460	36	0.0782608695652174
R1	DLP	R1_1	64	10	0.15625
R1	scRNA	R1_1	2462	701	0.284727863525589
R1	10X	R1_2	173	6	0.0346820809248555
R1	DLP	R1_2	43	4	0.0930232558139535
R1	scRNA	R1_2	2173	640	0.294523699953981
R1	10X	R1_3	214	10	0.0467289719626168
R1	DLP	R1_3	272	24	0.0882352941176471
R1	scRNA	R1_3	0	0	0
R1	10X	R1_4	116	12	0.103448275862069
R1	DLP	R1_4	103	9	0.087378640776699
R1	scRNA	R1_4	0	0	0
R2	10X	healthy	51	4	0.0784313725490196
R2	DLP	healthy	29	1	0.0344827586206897
R2	scRNA	healthy	570	66	0.115789473684211
R2	10X	R2_1	265	37	0.139622641509434
R2	DLP	R2_1	186	56	0.301075268817204
R2	scRNA	R2_1	0	0	0
R2	10X	R2_2	472	87	0.184322033898305
R2	DLP	R2_2	245	28	0.114285714285714
R2	scRNA	R2_2	0	0	0
R2	10X	R2_3	41	11	0.268292682926829
R2	DLP	R2_3	122	42	0.344262295081967
R2	scRNA	R2_3	0	0	0
R2	10X	R2_all	0	0	0
R2	DLP	R2_all	0	0	0
R2	scRNA	R2_all	3663	942	0.257166257166257
R3	10X	healthy	6	0	0
R3	DLP	healthy	4	1	0.25
R3	scRNA	healthy	751	95	0.126498002663116
R3	10X	R3_1	63	5	0.0793650793650794
R3	DLP	R3_1	386	90	0.233160621761658
R3	scRNA	R3_1	0	0	0
R3	10X	R3_all	0	0	0
R3	DLP	R3_all	0	0	0
R3	scRNA	R3_all	2641	934	0.353653918970087
R4	10X	healthy	17	2	0.117647058823529
R4	DLP	healthy	13	2	0.153846153846154
R4	scRNA	healthy	874	66	0.0755148741418764
R4	10X	R4_1	0	0	0
R4	DLP	R4_1	111	27	0.243243243243243
R4	scRNA	R4_1	2514	508	0.202068416865553
R4	10X	R4_2	153	21	0.137254901960784
R4	DLP	R4_2	235	62	0.263829787234043
R4	scRNA	R4_2	3697	432	0.116851501217203
R4	10X	R4_3	59	13	0.220338983050847
R4	DLP	R4_3	188	40	0.212765957446809
R4	scRNA	R4_3	404	41	0.101485148514851
R5	10X	healthy	42	6	0.142857142857143
R5	DLP	healthy	80	3	0.0375
R5	scRNA	healthy	452	70	0.154867256637168
R5	10X	R5_1	72	5	0.0694444444444444
R5	DLP	R5_1	27	1	0.037037037037037
R5	scRNA	R5_1	0	0	0
R5	10X	R5_2	399	54	0.135338345864662
R5	DLP	R5_2	216	21	0.0972222222222222
R5	scRNA	R5_2	0	0	0
R5	10X	R5_3	143	17	0.118881118881119
R5	DLP	R5_3	27	3	0.111111111111111
R5	scRNA	R5_3	0	0	0
R5	10X	R5_4	277	50	0.180505415162455
R5	DLP	R5_4	16	2	0.125
R5	scRNA	R5_4	0	0	0
R5	10X	R5_all	0	0	0
R5	DLP	R5_all	0	0	0
R5	scRNA	R5_all	6341	1769	0.278978079167324
