region	group	class	n_cells	n_sphase	sphase_fraction
P	Malignant_P	Malignant	3200	1160	0.3625
P	healthy	Healthy	657	124	0.188736681887367
P	Malignant_R1_1	Malignant	132	35	0.265151515151515
P	Malignant_R5	Malignant	7	1	0.142857142857143
P	Malignant_R4_1	Malignant	6	1	0.166666666666667
P	Malignant_R4_2	Malignant	5	0	0
P	Malignant_Ribo	Malignant	4	0	0
P	Malignant_R2	Malignant	3	2	0.666666666666667
P	Malignant_G2MS_R2R3	Malignant	2	1	0.5
P	Malignant_R1_2	Malignant	2	0	0
P	Malignant_R3	Malignant	1	1	1
R1	Malignant_R1_1	Malignant	2462	701	0.284727863525589
R1	Malignant_R1_2	Malignant	2173	640	0.294523699953981
R1	Malignant_R5	Malignant	162	52	0.320987654320988
R1	healthy	Healthy	146	23	0.157534246575342
R1	Malignant_G2MS_R1R5	Malignant	58	12	0.206896551724138
R1	Malignant_P	Malignant	29	9	0.310344827586207
R1	Malignant_Ribo	Malignant	10	2	0.2
R1	Malignant_R4_2	Malignant	3	1	0.333333333333333
R1	Malignant_R2	Malignant	2	0	0
R1	Malignant_R3	Malignant	2	1	0.5
R1	Malignant_G2MS_R2R3	Malignant	1	0	0
R1	Malignant_R4_1	Malignant	1	0	0
R2	Malignant_R2	Malignant	3663	942	0.257166257166257
R2	Malignant_R3	Malignant	998	357	0.357715430861723
R2	Malignant_G2MS_R2R3	Malignant	739	177	0.239512855209743
R2	Malignant_Ribo	Malignant	593	164	0.276559865092749
R2	healthy	Healthy	570	66	0.115789473684211
R2	Malignant_R1_1	Malignant	94	18	0.191489361702128
R2	Malignant_R4_2	Malignant	42	7	0.166666666666667
R2	Malignant_R5	Malignant	23	7	0.304347826086957
R2	Malignant_R4_1	Malignant	16	7	0.4375
R2	Malignant_G2MS_R1R5	Malignant	12	3	0.25
R2	Malignant_R1_2	Malignant	5	1	0.2
R2	Malignant_G2MS_R4	Malignant	2	0	0
R2	Malignant_P	Malignant	1	0	0
R3	Malignant_R3	Malignant	2641	934	0.353653918970087
R3	healthy	Healthy	751	95	0.126498002663116
R3	Malignant_Ribo	Malignant	726	215	0.296143250688705
R3	Malignant_G2MS_R2R3	Malignant	559	181	0.323792486583184
R3	Malignant_R2	Malignant	363	143	0.393939393939394
R3	Malignant_R1_1	Malignant	66	13	0.196969696969697
R3	Malignant_R4_2	Malignant	33	9	0.272727272727273
R3	Malignant_R1_2	Malignant	4	1	0.25
R3	Malignant_R5	Malignant	3	0	0
R3	Malignant_G2MS_R1R5	Malignant	2	1	0.5
R3	Malignant_P	Malignant	2	1	0.5
R3	Malignant_R4_1	Malignant	2	1	0.5
R3	Malignant_G2MS_R4	Malignant	1	0	0
R4	Malignant_R4_2	Malignant	3697	432	0.116851501217203
R4	Malignant_R4_1	Malignant	2514	508	0.202068416865553
R4	healthy	Healthy	874	66	0.0755148741418764
R4	Malignant_G2MS_R4	Malignant	544	144	0.264705882352941
R4	Malignant_R4_3	Malignant	404	41	0.101485148514851
R4	Malignant_Ribo	Malignant	353	86	0.243626062322946
R4	Malignant_R1_1	Malignant	119	17	0.142857142857143
R4	Malignant_R3	Malignant	30	4	0.133333333333333
R4	Malignant_G2MS_R2R3	Malignant	25	6	0.24
R4	Malignant_R5	Malignant	24	7	0.291666666666667
R4	Malignant_P	Malignant	12	1	0.0833333333333333
R4	Malignant_R2	Malignant	9	3	0.333333333333333
R4	Malignant_R1_2	Malignant	2	0	0
R4	Malignant_G2MS_R1R5	Malignant	1	1	1
R5	Malignant_R5	Malignant	6341	1769	0.278978079167324
R5	Malignant_G2MS_R1R5	Malignant	719	347	0.482614742698192
R5	Malignant_R1_1	Malignant	590	144	0.24406779661017
R5	healthy	Healthy	452	70	0.154867256637168
R5	Malignant_Ribo	Malignant	12	2	0.166666666666667
R5	Malignant_G2MS_R2R3	Malignant	4	3	0.75
R5	Malignant_R3	Malignant	4	1	0.25
R5	Malignant_R1_2	Malignant	3	1	0.333333333333333
R5	Malignant_P	Malignant	2	2	1
R5	Malignant_R4_1	Malignant	1	0	0
R5	Malignant_R4_2	Malignant	1	0	0
